Wallet,Amount held,Notes
0x8aceab8167c80cb8b3de7fa6228b889bb1130ee8,"$483,940,945",Aave and Compound loans (stETH and WBTC)
0x87a67e7dc32fdc79853d780c6f516312b4a503b5,"$255,518,268",WBTC vault - liquidation at ~$20.3k
0xeee27662c2b8eba3cd936a23f039f3189633e4c8,"$198,140,670",Ethereum staking
0x1cedc0f3af8f9841b0a1f5c1a4ddc6e1a1629074,"$207,350,718",Ethereum staking
0xc131701ea649afc0bfcc085dc13304dc0153dc2e,"$79,338,628",Bunch of ETH and USDC
0x84e1f49a6b65882c7365b6a775999cfcb481f22f,"$44,395,585",All CEL
0x4f6742badb049791cd9a37ea913f2bac38d01279,"$24,667,208",Bunch of non-USD stables and cxETH and cxBTC
0xef22c14f46858d5ac61326497b056974167f2ee1,"$20,451,154",SNX and EURT
0xdbaa0bcec419c47a75efbb93c745aebae3fe9c7b,"$16,008,040",All WETH
0x3b6543ebe26824bd8156a103063f56ce50f88080,"$15,388,193",Bancor (all bnETH)
0x3be6d80fdce385358f5762998882efc282df7b9a,"$15,130,545",All CEL
0x845cbcb8230197f733b59cfe1795f282786f212c,"$15,002,087",All CEL
0x0fc8415a9b8f535e9f48ba245b1b18a37fb03a90,"$10,320,401",All CEL
0x8665d75ff2db29355428b590856505459bb675e3,"$9,007,866",Notional Finance
0x32B61Bb22Cbe4834bc3e73DcE85280037D944a4D,"$5,987,392",Staked AAVE
0xCf7a68127285C7c6c8546CE51B89d7E820f6D294,"$5,311,596",SNX and ledning on AAVE
0xc926c5803b9337013232bc36cdf2d82608c62466,"$4,927,382",WBTC in BNT/WBTC
0xf73c37df30571b9b58da19c7473964369011dbec,"$4,656,576",Bancor (ETH in BNT/ETH and BNT in BNT/LINK)
0xb26314635252b4ee8b454423e5299a092dea8a4a,"$2,705,491",Bunch of assets and stables (lot of WBTC)
0x41318419cfa25396b47a94896ffa2c77c6434040,"$588,167","Dumping wallet (stETH, SUSHI, renBTC)"
0x33791b3b89a0cf20534a21cc41054a751cd0b56f,"$567,199",xSUSHI in Aave
0x5fae4c088b1d8dddbdafff93a648dd87a71c6dea,"$286,057",Bunch of shitcoins
0xca9ac16b08e6aa1dac2c83fea1dddbd46c6e38d1,"$225,181",
0x8b47ed08fd5f134c57b826fbd33e1de121de880d,"$187,713",
0x7de3e919d1d7e5f1b1b27bdb3575b65c5874a5f6,"$176,038",
0xDb31651967684A40A05c4aB8Ec56FC32f060998d,"$128,584",
0x62ffb5b8f6c6e3dc949f4e7b163831fe6d2ed423,"$126,302",
0x73cae59e9d6e73b43ad32de120b456783f72b7aa,"$106,621",
0xdb5aa12ad695ef2a28c6cdb69f2bb04bed20a48e,"$105,709",
0xe15c4c5e702e08428eb967f586dd58459b6c5eef,"$95,750",
0x5670b3E44AdE4BD9D04A73fB88994E37A0d48f27,"$43,297",
0x767ecb395def19ab8d1b2fcc89b3ddfbed28fd6b,"$25,343",
0x275d767b951C96E081fd8F7CA6888CD7B8FCA43d ,"$20,244",
0xc30c38f63611b14a5ba4b743650cedcce51094d9,"$18,792",
0x917334942eee7c32dcccfbde975f3e0ac30efac4,"$13,136",
0x3e897aa16f1168fa83e4ffb8d4901c3a9cad31fb,"$11,627",
0x1962389668b63284f4f034ee783630ba0ca5811e,"$7,224",
0x81eec27e8e98289732ac106632047896e6592604,"$5,964",
0xBC8d100e2c7C1d6BbEfc3128bd5185d226a1976A,"$5,192",Lido history
0x3CCf39E3f47a8bF6145b781F8236454F73079B41,"$3,703",
0xe734f28eda78893dab22d53fdd24f8595a2d7812,"$2,805",
0xb721a1dce5556fbf0195eea6330e206c76a562e8,"$2,383",
0xbd9795a14035dba41bccfc563329aa6b197a0cbb,"$2,116",
0x4d56bca1705089a95be71f94506e9cfaf84f9624,"$2,089",
0x512986a575c5cdc9a77ee99f388d7634dd1587ff,"$1,891",
0x5e150716400764d2e97383c1a3cffe879c6872ce,"$1,821",
0x8dAd4658eE06122fb9B105A8DEA1D185AC428687,"$1,659",
0xf642ea51c645c48196d9831a5937e95b0e9b4f7f,"$1,606",
0x019C4935ff1C4945F046C6784C08A40F1AB632A3,"$1,421",
0x75db8b92937f8f86213e523788ab9f066efde3fe,"$1,316",
0x8861df23a1f37b33293e6deb8bf28b88c3731ceb,"$1,293",
0x776cCA36a2aD78f74950b1dC5354c11986312a86,"$1,007",
0x64f65e10f1c3cd7e920a6b34b83daf2f100f15e6,$976,
0x91e9a131446ab538d30746c79d43908faef3f289,$939,
0xcfa434777e1d2b7cb4d2e098dabe985e5a953fc5,$786,
0xda511a589eb1290a88e54cb6d723c4b0f7f3166a,$645,
0x6E41e1e7D009a320569cbeB8CF8D7ADBA94a6364 ,$469,
0xc9d0ec063fbf29438d5356b3c654892b387e5ccb,$262,
0x212D3c9ad48926ED3e7ef538CAaDDb5D10E8Eb9e,$1,
0x212d3c9ad48926ed3e7ef538caaddb5d10e8eb9e,$1,
0x19536e49eb17059c6d43ac8be103b1ea4ea815b8,$1,
0xda36468efd3c09b6e52a9dc73cf7863a5e5671c4,$0,Notional Finance
0xab7a0225c1b48474ef4f2c984e38bd9a18359e4c,$0,
0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d,$0,
0x76A05277B81b9cA6C06c9Ab4136116FC53E9C9E1,$0,FTX deposit
0xa7329afb169df60d221110c7ad4c02891392a9d2,$0,Dumping stETH on FTX
,,
Total,"$1,421,022,075",